Name,Street Address,Road,City,State,Brewery License,License Date,Status,Address
111 Brewing,111,S FANNIN AVENUE,DENISON,TX,Brewery,4/10/2019,In the works,"111 S FANNIN AVENUE, DENISON, TX"
2 Docs Brewing Co,502,TEXAS AVENUE,LUBBOCK,TX,Brewery,10/5/2018,Open,"502 TEXAS AVENUE, LUBBOCK, TX"
3 Nations Brewing,2405,SQUIRE PLACE SUITE 200,FARMERS BRANCH,TX,Brewery,5/6/2015,Open,"2405 SQUIRE PLACE SUITE 200, FARMERS BRANCH, TX"
4th Tap Brewing Cooperative,10615,METRIC BOULEVARD,AUSTIN,TX,Brewery,4/13/2015,Open,"10615 METRIC BOULEVARD, AUSTIN, TX"
512 Brewing Company,407,RADAM LANE 'F200',AUSTIN,TX,Brewery,5/20/2008,Open,"407 RADAM LANE 'F200', AUSTIN, TX"
8th Wonder Brewery,2202,DALLAS STREET,HOUSTON,TX,Brewery,12/29/2011,Open,"2202 DALLAS STREET, HOUSTON, TX"
Alamo Beer,415,BURNET STREET,SAN ANTONIO,TX,Brewery,9/29/2014,Open,"415 BURNET STREET, SAN ANTONIO, TX"
Allen's Landing Brewing Company,3540,OAK FOREST DRIVE,HOUSTON,TX,Brewery,1/16/2015,Open,"3540 OAK FOREST DRIVE, HOUSTON, TX"
Altmeyer & Lewis Brewing Company,15898,HWY 123 NORTH,SAN MARCOS,TX,Brewery,7/16/2015,Open,"15898 HWY 123 NORTH, SAN MARCOS, TX"
Armadillo Ale Works,221,S BELL AVENUE,DENTON,TX,Brewery,2/19/2015,Open,"221 S BELL AVENUE, DENTON, TX"
Athens Brewing Company,101,E TYLER STREET,ATHENS,TX,Brewery,4/18/2016,Open,"101 E TYLER STREET, ATHENS, TX"
Austin Beerworks,3009,INDUSTRIAL TERRACE SUITE 150,AUSTIN,TX,Brewery,12/30/2010,Open,"3009 INDUSTRIAL TERRACE SUITE 150, AUSTIN, TX"
Backstory  Brewery,211,MAGNOLIA STREET,SULPHUR SPRINGS,TX,Brewery,10/31/2017,Open,"211 MAGNOLIA STREET, SULPHUR SPRINGS, TX"
BCS-Zoigl,211,WILLIAM J BRYAN PARKWAY,BRYAN,TX,Brewery,12/1/2016,Open,"211 WILLIAM J BRYAN PARKWAY, BRYAN, TX"
Bear King Brewing Company,207,AVE G,MARBLE FALLS,TX,Brewery,11/28/2018,Open,"207 AVE G, MARBLE FALLS, TX"
Bell Mountain Vineyards,463,BELL MOUNTAIN ROAD,FREDERICKSBURG,TX,Brewery,1/16/2019,In the works,"463 BELL MOUNTAIN ROAD, FREDERICKSBURG, TX"
Bell Springs Winery,3700,BELL SPRINGS ROAD,DRIPPING SPRINGS,TX,Brewery,7/25/2018,In the works,"3700 BELL SPRINGS ROAD, DRIPPING SPRINGS, TX"
Bitter Sisters Brewing Company,15103,SURVEYOR BOULEVARD,ADDISON,TX,Brewery,8/22/2014,Open,"15103 SURVEYOR BOULEVARD, ADDISON, TX"
Bluebonnet Beer Company,1700,BRYANT DRIVE UNIT 107,ROUND ROCK,TX,Brewery,4/1/2014,Open,"1700 BRYANT DRIVE UNIT 107, ROUND ROCK, TX"
Braman Brewery,3421,FM 359 SUITE B,RICHMOND,TX,Brewery,5/4/2015,Open,"3421 FM 359 SUITE B, RICHMOND, TX"
Brotherwell Brewing,400,E BRIDGE STREET,WACO,TX,Brewery,11/9/2017,Open,"400 E BRIDGE STREET, WACO, TX"
Buffalo Bayou Brewing Company,2101,SUMMER STREET,HOUSTON,TX,Brewery,9/24/2018,Open,"2101 SUMMER STREET, HOUSTON, TX"
Bull Creek Brewing,7100,FM 3405 BUILDING 1,LIBERTY HILL,TX,Brewery,3/12/2013,Open,"7100 FM 3405 BUILDING 1, LIBERTY HILL, TX"
Celis Brewery,10001,METRIC BOULEVARD,AUSTIN,TX,Brewery,5/15/2017,Open,"10001 METRIC BOULEVARD, AUSTIN, TX"
City Orchard,1201,OLIVER STREET UNIT 108,HOUSTON,TX,Brewery,6/18/2018,Open,"1201 OLIVER STREET UNIT 108, HOUSTON, TX"
Comfort Brewing,523,7TH STREET SUITE B,COMFORT,TX,Brewery,8/29/2016,Open,"523 7TH STREET SUITE B, COMFORT, TX"
Community Beer Company,1530,INSPIRATION DRIVE SUITE 200,DALLAS,TX,Brewery,2/1/2013,Open,"1530 INSPIRATION DRIVE SUITE 200, DALLAS, TX"
Cypress Creek Southern Ales,200,E CARNEGIE STREET,WINNSBORO,TX,Brewery,8/18/2017,Open,"200 E CARNEGIE STREET, WINNSBORO, TX"
Deep Ellum Barrel House,2825,CANTON STREET,DALLAS,TX,Brewery,4/18/2016,In the works,"2825 CANTON STREET, DALLAS, TX"
Deep Ellum Brewing Company,2823,SAINT LOUIS STREET,DALLAS,TX,Brewery,3/17/2017,Open,"2823 SAINT LOUIS STREET, DALLAS, TX"
Deep Ellum FTW,611,UNIVERSITY DRIVE,FORT WORTH,TX,Brewery,9/5/2018,Open,"611 UNIVERSITY DRIVE, FORT WORTH, TX"
Dej Buh Stesti Brewing Company,1328,FM 2915,LOVELADY,TX,Brewery,1/8/2016,Open,"1328 FM 2915, LOVELADY, TX"
Dirty Job Brewing,117,N MAIN STREET,MANSFIELD,TX,Brewery,5/4/2017,Open,"117 N MAIN STREET, MANSFIELD, TX"
DJ Vineyards,4064,HWY 290W BUILDING B,JOHNSON CITY,TX,Brewery,9/19/2017,In the works,"4064 HWY 290W BUILDING B, JOHNSON CITY, TX"
Eccentric Brewing Company,1402,COTTON FLAT ROAD,MIDLAND,TX,Brewery,5/4/2018,Open,"1402 COTTON FLAT ROAD, MIDLAND, TX"
Edgewise Eight Brewing,6488,FM 920,WEATHERFORD,TX,Brewery,10/17/2018,Open,"6488 FM 920, WEATHERFORD, TX"
Four Bullets Brewery,640,N INTERURBAN STREET,RICHARDSON,TX,Brewery,10/7/2014,Open,"640 N INTERURBAN STREET, RICHARDSON, TX"
Four Corners Brewing Co.,1311,S ERVAY,DALLAS,TX,Brewery,5/15/2017,Open,"1311 S ERVAY, DALLAS, TX"
Franconia Brewing Company,495,MCKINNEY PARKWAY,MCKINNEY,TX,Brewery,1/23/2008,Open,"495 MCKINNEY PARKWAY, MCKINNEY, TX"
Friends And Allies Brewing Company,979,SPRINGDALE ROAD UNIT 124,AUSTIN,TX,Brewery,5/26/2016,Open,"979 SPRINGDALE ROAD UNIT 124, AUSTIN, TX"
Frontyard Brewing,1607,N CUERNAVACA DRIVE UNIT 202,AUSTIN,TX,Brewery,5/8/2017,Open,"1607 N CUERNAVACA DRIVE UNIT 202, AUSTIN, TX"
Fulbrook Ale Works,1125,FM 359,RICHMOND,TX,Brewery,11/17/2017,Open,"1125 FM 359, RICHMOND, TX"
Galveston Bay Beer Company,12900,FM 3436,TEXAS CITY,TX,Brewery,8/12/2014,Open,"12900 FM 3436, TEXAS CITY, TX"
Gilmer Brewing Company,101,W TYLER STREET,GILMER,TX,Brewery,9/6/2018,Open,"101 W TYLER STREET, GILMER, TX"
Goliad Brewing Company,252,METTING ROAD,GOLIAD,TX,Brewery,12/10/2013,Open,"252 METTING ROAD, GOLIAD, TX"
Gulf Coast Distillers,5610,CLINTON DRIVE,HOUSTON,TX,Brewery,12/7/2018,In the works,"5610 CLINTON DRIVE, HOUSTON, TX"
Hedgehog Brewing,3200,WOODALL DRIVE UNIT C-1,CEDAR PARK,TX,Brewery,1/23/2019,Open,"3200 WOODALL DRIVE UNIT C-1, CEDAR PARK, TX"
Hemisphere Brewing Co.,2015,KRISTY LANE,ROCKWALL,TX,Brewery,6/1/2016,Open,"2015 KRISTY LANE, ROCKWALL, TX"
Highwheel Brewing,1902,S FLORES STREET,SAN ANTONIO,TX,Brewery,9/24/2015,Open,"1902 S FLORES STREET, SAN ANTONIO, TX"
Holler Brewing,2206,EDWARDS STREET SUITE A,HOUSTON,TX,Brewery,9/8/2015,Open,"2206 EDWARDS STREET SUITE A, HOUSTON, TX"
Hop And Sting Brewing Company,906,JEAN STREET,GRAPEVINE,TX,Brewery,10/24/2017,Open,"906 JEAN STREET, GRAPEVINE, TX"
Hopfusion Ale Works,200,E BROADWAY AVENUE,FORT WORTH,TX,Brewery,1/29/2016,Open,"200 E BROADWAY AVENUE, FORT WORTH, TX"
Independence Brewing Co.,3913,TODD LN #607,AUSTIN,TX,Brewery,9/22/2004,Open,"3913 TODD LN #607, AUSTIN, TX"
Ivanhoe Ale Works,220,W MAIN STREET,DENISON,TX,Brewery,1/2/2015,Open,"220 W MAIN STREET, DENISON, TX"
Karbach Brewing Company,2032,KARBACH STREET,HOUSTON,TX,Brewery,3/7/2011,Open,"2032 KARBACH STREET, HOUSTON, TX"
Lake Austin Ales (Operating in Celis),9705,BURNET ROAD SUITE 612,AUSTIN,TX,Brewery,5/4/2015,Open,"9705 BURNET ROAD SUITE 612, AUSTIN, TX"
Lakewood Brewing Company,2302,EXECUTIVE DRIVE,GARLAND,TX,Brewery,5/1/2012,Open,"2302 EXECUTIVE DRIVE, GARLAND, TX"
Landon Winery,2400,JOHNSON STREET,GREENVILLE,TX,Brewery,3/9/2017,In the works,"2400 JOHNSON STREET, GREENVILLE, TX"
Legal Draft Beer Co.,500,E DIVISION STREET,ARLINGTON,TX,Brewery,4/1/2016,Open,"500 E DIVISION STREET, ARLINGTON, TX"
Live Oak Brewing Company,1615,CROZIER LANE,AUSTIN,TX,Brewery,10/20/2015,Open,"1615 CROZIER LANE, AUSTIN, TX"
